"f","e","d","tau_q","tau_s","v_s","u0"
0.6858026,0.99081,248.3063,5.630789,670.782,0.8776603,1.31269375779321
0.6027896,1.009568,422.0783,9.074486,883.4524,0.8602037,1.34232711620166
1.4957254,1.002861,355.9973,9.085031,726.7254,0.8783597,1.63818910083191
1.1116986,1.0049915,396.179,6.140706,660.4174,0.858397,1.55012668647155
0.9302644,0.997077,536.2054,4.705956,600.1086,0.9980835,1.6067350945376
0.5692019,1.0005284,205.1568,7.723032,341.0821,0.9057269,1.26836190357289
0.9958652,1.0008969,516.5136,7.369141,593.2359,0.8907657,1.56686768903072
1.319084,0.9989228,387.0491,9.761632,654.5206,0.8902201,1.62103575155955
1.105527,0.9917499,257.3005,4.661046,540.3601,0.7082799,1.31581024521685
1.3343426,1.0032755,373.7284,4.669104,847.906,0.8210974,1.57474363480374
1.0896094,1.0075031,377.2722,4.608692,559.9647,0.7232007,1.43053568184806
1.3985135,1.0026831,549.0797,4.42241,739.6474,0.9373955,1.68297034115817
0.7182899,0.9908678,334.3715,6.494599,442.5263,0.9484816,1.40469223923252
1.4281662,1.0014012,407.4397,9.17246,243.2783,0.8522346,1.61904016455357
0.5856777,1.0051789,284.8252,9.489118,859.2623,0.7931863,1.24621551930742
0.7705724,0.9929821,384.4395,7.101435,328.7877,0.8528551,1.34202934139996
0.8488694,0.9994433,503.1238,8.584237,347.5882,0.7174243,1.36674004600172
0.8592167,1.003191,376.0953,9.021145,328.6278,0.7653049,1.35289461413494
0.693024,1.0009968,508.2764,8.512198,819.9777,0.7491405,1.30226734689299
0.5631134,1.0001191,464.9526,7.780744,284.9854,0.9361921,1.31863949234545
1.0183903,0.9931461,296.8085,9.752456,936.4597,0.8864744,1.52145894709438
1.3714482,0.9974251,201.789,3.898614,736.0888,0.9646643,1.57677962025189
1.4466272,0.9988963,446.9413,6.068106,585.9538,0.8119878,1.6268330190261
0.8297009,0.9980143,377.0916,5.818777,374.1947,0.7844154,1.31797943165713
1.4064661,1.0059466,423.2482,9.79172,230.2247,0.705823,1.58448648859751
1.0515604,0.9959404,521.4192,9.740006,770.8364,0.8593882,1.58469453872896
1.1642336,0.9956344,488.8448,3.953082,949.8627,0.8443496,1.58167169263871
1.3081864,0.9969473,453.733,3.590151,224.3071,0.8519094,1.58074799908215
1.2923084,1.0075255,364.9924,6.760846,914.9357,0.8455409,1.5913263449928
1.1934013,1.0051128,334.0671,7.332257,933.6081,0.862049,1.56630211021663
0.7701996,0.9916616,274.3693,5.463424,544.7473,0.9458589,1.42250945360414
1.1446411,1.0094882,356.7095,4.247644,535.7301,0.9042825,1.55686332818314
1.4630044,1.0090627,453.3768,5.20693,904.8322,0.8931895,1.666125441966
0.6097217,1.002313,520.3551,6.318217,834.7599,0.9115372,1.38679836245203
1.3087052,0.9929181,225.1617,7.579646,200.1859,0.7974218,1.41826528085768
0.9355751,1.0037105,390.5045,5.884777,453.9501,0.9024543,1.4934741107607
1.3042243,1.006356,451.9551,9.64799,558.4465,0.9183714,1.64682267280697
1.3617182,1.0096322,404.7189,3.332862,572.5575,0.9105535,1.6265669898047
0.9337776,1.0027759,327.2384,5.967345,840.6686,0.866894,1.46945374723287
1.1402778,0.9979252,386.2816,5.303449,685.2241,0.8551213,1.54588367918881
1.4299222,0.997225,204.3633,5.858931,458.5066,0.9534103,1.56124619606988
1.3570572,1.0046761,513.1871,5.621851,550.1476,0.8793554,1.65048299228454
0.6363258,0.9942936,548.7356,5.371575,228.5406,0.9789278,1.37248707799685
1.2351221,1.0043689,439.0017,5.26687,390.5299,0.8936083,1.60012868131797
1.3073553,0.9993392,207.2217,5.876891,411.5174,0.886175,1.481313653918
0.7028233,0.9917618,252.5887,9.834945,622.4892,0.9641302,1.43140026747483
0.6201653,0.9914945,547.3974,7.039621,430.0215,0.7836502,1.23247320792028
0.7443477,1.0068631,472.6811,9.474014,591.2325,0.9694616,1.49156741840612
1.2157407,0.9927783,355.3911,8.55457,305,0.7585891,1.4981993409693
0.9821374,1.0072301,238.1239,7.51892,806.8807,0.8112692,1.40124973743325
0.6661917,0.9946217,209.9483,9.763398,481.6302,0.9099349,1.3344000994037
1.2239342,0.9961604,520.8868,4.963518,900.6598,0.7607804,1.57432372871127
1.1655175,0.9956894,305.6643,4.827715,310.2113,0.9400883,1.53839037705986
1.2386213,0.9930537,491.6657,8.41863,874.8817,0.9623948,1.66388994575389
1.0533569,1.0018356,382.0449,8.988987,928.8083,0.7457325,1.48643289923331
1.1841807,0.9988005,445.4824,9.129961,836.4466,0.8336135,1.59191038915981
1.2172632,1.0040213,443.4039,7.098286,926.451,0.7540494,1.56165380033678
1.4151335,1.0003134,436.7286,4.155759,910.9516,0.8192581,1.61536076966905
1.3992181,1.0024057,488.8765,4.65869,991.7916,0.8692651,1.65331260863972
0.6255495,1.0095661,485.0613,8.390075,478.5706,0.8912996,1.34569288040753
1.2222285,0.9958293,350.7898,4.239941,231.4636,0.9291859,1.55793976469156
0.507129,0.9988076,467.3589,9.074468,364.8939,0.8955505,1.29249581845597
1.1691487,0.9925818,292.9602,5.681067,988.5074,0.8743172,1.53573115092455
0.6833789,0.9924194,376.5135,4.399879,780.4751,0.7961829,1.24485437911944
0.9356608,0.9944281,265.0304,9.498154,501.6923,0.8311254,1.39895025284876
0.8455246,1.0094915,462.4317,9.023082,466.7094,0.8235237,1.43493858651037
1.1080463,0.9972551,414.6793,3.288949,213.1336,0.9678456,1.57099335779407
1.456998,0.9970147,354.526,3.79463,997.3521,0.8646982,1.60926980128097
0.6341293,0.9915327,205.04,7.28454,920.118,0.9732248,1.43994006697793
0.8406267,0.9905212,330.1998,3.463629,307.4842,0.7557473,1.21504856229579
1.2205209,0.9954661,362.1777,4.311205,724.9973,0.9061014,1.58502692821831
0.963435,1.0029706,266.5465,5.574309,353.6079,0.7568462,1.30089643465856
1.4178032,1.0084305,425.307,3.385656,386.6505,0.9612181,1.66087548613642
0.7276818,0.997199,423.3136,7.711116,951.4584,0.9725032,1.50883966271356
1.4602638,1.0085738,382.0948,8.458936,577.307,0.7699344,1.6026470421669
0.7056252,0.9919147,365.2406,3.349662,294.2463,0.7876298,1.15856464888383
1.1796567,0.991299,237.6369,5.584615,586.6577,0.9473776,1.53852093734735
0.5102513,0.990701,482.3013,9.920331,613.2207,0.7775021,1.21863162359055
0.8362227,1.0046321,446.244,4.50932,288.9843,0.7362017,1.28798684173421
0.7962093,0.9937355,372.0522,4.074307,993.7291,0.9042772,1.45097472640377
1.2369676,1.0015351,505.0185,9.745317,761.7918,0.9507367,1.66181149037512
1.3407099,1.0094317,517.8499,6.237675,925.5306,0.7829184,1.62924684939742
1.378321,0.9972604,226.21,7.390247,330.8682,0.8734271,1.50560436710772
0.7928018,1.0008012,321.5906,3.274991,438.3204,0.9182518,1.38825136776114
1.3542888,0.992756,481.8141,3.357427,630.2896,0.9104189,1.64259112089598
1.4344335,0.9925107,215.2019,5.203846,522.705,0.7311253,1.40936078486853
0.9040763,0.9985438,207.5835,5.093298,557.7884,0.999601,1.51005208412184
0.7284871,0.993004,325.1911,7.524792,543.1482,0.7753197,1.25839144980266
0.51206,0.9999429,297.267,6.06017,737.6916,0.8201582,1.20783043958883
0.7522459,1.0015438,545.4406,6.656753,313.9172,0.7104658,1.26380257179666
1.3371276,1.0011011,429.9263,6.425879,369.3675,0.7391364,1.5623870695349
0.6311667,1.001125,498.0484,6.090248,266.6198,0.8691328,1.27274447013972
0.8413159,1.0053336,520.9703,5.643403,703.4609,0.9545312,1.54429081430794
1.429225,0.9980445,272.55,3.755964,650.6667,0.9457417,1.60729727361568
0.7516757,1.0049847,372.0742,8.41115,655.3677,0.9083557,1.43058695454538
1.0813142,0.9980445,238.3507,4.648329,418.7172,0.8403723,1.39380728036696
1.4063992,0.9914247,299.0592,4.248548,867.799,0.9993488,1.66244923343131
0.64429,1.0058183,210.4101,9.072528,611.1611,0.8584191,1.29017714699299
0.638889,1.0016336,356.3216,9.818807,276.163,0.9442539,1.34311365078965
0.9996111,0.998357,209.047,4.468004,486.1379,0.8543901,1.35972169198661
1.0315118,0.9976877,246.4994,7.052717,529.1506,0.8664163,1.43915401341199
0.990248,0.9923325,201.9448,3.202602,202.6974,0.8539753,1.2692090234749
1.0492786,0.9920104,462.0738,7.719916,387.4464,0.8302187,1.52374386633315
1.4039132,0.9919682,496.571,3.788255,313.5901,0.7135368,1.58063629618508
1.2605512,1.0087836,479.5449,8.186114,861.473,0.9591166,1.66859003010281
0.6605819,0.9964794,487.1762,4.350757,507.2544,0.9476025,1.40194182937441
1.1433212,0.9974676,208.2134,5.405688,201.0002,0.8744886,1.38453794584646
0.647185,0.9929408,241.6393,7.962647,834.7041,0.7258325,1.16707853703157
0.6014296,0.9901599,287.0068,9.050662,404.1826,0.7375376,1.14486389200298
1.343426,0.9973508,373.1768,9.124434,848.0709,0.8778469,1.62010341780986
0.9099118,0.9948298,387.9023,3.855804,647.8288,0.905845,1.48545144249707
1.2344542,1.0095537,364.8902,8.632594,216.3537,0.9346475,1.58624396613042
1.3919927,1.0094436,520.9601,8.016939,807.4511,0.7311554,1.63471845575726
0.6827801,1.0083937,525.8158,4.160416,888.2227,0.850459,1.35190452278402
1.4058601,0.9925915,254.3485,8.841936,204.924,0.7086687,1.44715420069481
1.4569251,1.0014871,223.687,3.575039,905.038,0.9407268,1.59371494400624
1.2411843,0.9940575,241.8871,3.344767,952.1614,0.8238065,1.45333219432944
1.0359477,1.0004322,261.2601,7.895967,318.3238,0.9260854,1.47506592114403
1.4535029,1.0042705,412.5247,5.553713,403.4377,0.7201557,1.57811954593714
0.8352073,0.9938624,429.9608,9.553151,704.2812,0.9987694,1.56034903050917
0.730546,0.9904604,312.5638,8.358151,414.3422,0.9581838,1.41514831847687
0.6462436,1.0071412,404.3704,4.073953,676.3954,0.9049238,1.3517251201267
1.381706,1.0092096,442.6295,3.860003,700.9316,0.8192371,1.60794675262664
0.5330946,1.0058081,215.7795,4.571981,773.0273,0.7903778,1.1319502830256
1.0820299,1.0098651,346.8649,7.776852,440.4483,0.7396333,1.44492431365308
0.5672806,1.0099893,536.2661,8.596218,851.6308,0.9654974,1.43551006762249
1.4107505,0.9957823,308.283,3.105997,455.8995,0.92492,1.5920406938642
0.7055301,1.0099838,254.1934,6.633013,916.5521,0.9154031,1.40490842260105
0.5045912,1.0026254,544.7144,6.915428,286.8873,0.9086892,1.28047366575846
1.0857852,0.9919781,521.1102,6.481372,708.1032,0.7286465,1.517431517931
0.7015545,0.9927014,444.6241,7.882529,662.3216,0.8080002,1.32223104365805
1.2550368,0.9939458,250.7236,8.378427,827.9979,0.7109298,1.43269979350845
0.537782,1.002229,308.7693,3.936569,957.3036,0.8682963,1.263787171444
0.8994655,0.9912945,210.6697,6.770743,973.002,0.776588,1.31543496862527
0.6803651,1.0084273,293.6115,8.439447,609.335,0.7716132,1.23837569743874
1.3513771,1.0069643,255.4816,7.345828,866.1232,0.8532246,1.55070631157172
1.3933963,1.0084795,339.0407,7.427519,804.4116,0.7003069,1.53575641798
1.0936759,1.0097861,403.0646,3.967407,828.6324,0.8116469,1.51095648387648
0.9679536,1.0041428,441.7013,7.95315,365.9494,0.721503,1.42508112902412
0.5922151,1.005216,411.6664,6.467656,986.7718,0.769055,1.22193267227174
1.1352339,1.0091909,490.9849,8.148858,780.7773,0.9955692,1.66323810479185
0.9695564,1.0006114,326.8676,3.564006,392.9631,0.9062392,1.45933260223284
1.4265378,0.9968667,246.1673,7.879759,592.819,0.8452447,1.53921749056789
0.603572,1.0094414,451.752,4.973561,802.7068,0.8681628,1.31465575317764
1.3417624,1.0026882,547.5822,4.675548,853.1098,0.9209331,1.6712164400871
1.4332802,1.0023904,428.2542,7.765376,999.3292,0.9470351,1.67868166323491
1.4208709,0.9998675,285.1328,6.179696,443.6869,0.9302667,1.59838423603863
1.1316714,0.9929255,309.0871,9.581837,379.8003,0.9951112,1.58266817637166
0.7031969,0.9906387,361.3766,3.875163,851.0542,0.9443952,1.43514583534203
1.3895616,1.0000683,459.5927,9.376393,713.5844,0.8192172,1.63506372505343
1.1610601,0.9981271,505.3362,9.160537,698.7093,0.8620079,1.60898919266582
0.6154322,0.9976471,401.4309,6.25896,240.6878,0.9984324,1.37387204844412
0.8285384,0.9974697,413.8834,9.781664,888.2232,0.7533233,1.39086559413368
0.8326536,1.0014918,200.8417,4.700021,846.4545,0.855331,1.33797850331628
1.0215186,1.0088956,306.7975,8.028995,386.7618,0.7574733,1.39765246418859
0.8774779,1.0064698,485.6816,3.974588,395.7279,0.8695818,1.45177775122954
0.7117789,0.9955208,333.6314,9.62506,346.353,0.7436194,1.22159272176623
0.5284326,1.0014599,538.4482,4.791765,673.5485,0.7288806,1.10857685303297
1.0621571,0.9985955,454.5536,3.249802,816.6937,0.8574473,1.53899668507004
0.9445124,1.009868,522.2312,9.059016,929.1321,0.7818663,1.51565979900115
0.5216522,1.0063158,327.6169,6.205445,819.8225,0.9112753,1.33668748003923
1.377308,0.9927566,365.7576,6.613246,310.0402,0.921028,1.61113842412173
0.5355224,1.0069026,282.084,7.474128,487.1214,0.8668421,1.2569669311424
0.5673735,1.0046689,334.853,7.923364,326.2314,0.7682606,1.1480682518589
1.4958049,0.9971677,325.8199,3.157486,325.5775,0.8722764,1.57780209795786
0.9813804,1.0092071,425.7107,9.238998,866.9401,0.8121411,1.51555416741103
1.4640345,0.9973957,207.9044,4.520081,732.2517,0.7694377,1.44078834650731
0.9127613,0.9937681,266.5846,9.798757,447.1024,0.9927386,1.51233130937699
0.5201702,1.0091348,330.4758,3.41569,597.9616,0.8815375,1.24352597794016
0.8656778,0.9972293,262.3617,4.407714,527.2711,0.9712975,1.48105017498021
1.0480989,1.0099636,372.46,5.556046,689.491,0.9668669,1.59572434403881
0.7608724,0.9977178,541.5492,8.274246,449.066,0.8392502,1.39416807143013
0.7969938,1.0063509,384.0239,6.937398,545.85,0.8689617,1.40671967629732
0.6938344,1.0043772,447.8789,6.332757,382.683,0.911978,1.3705068047855
1.3822293,1.0036891,379.3271,6.617463,900.8867,0.9815178,1.67444665342669
0.8340395,1.0063404,459.8903,9.571054,793.259,0.7638127,1.4143732165405
0.774876,0.9965946,544.2917,5.953225,516.0389,0.9442283,1.48170963618977
0.5823581,1.0099468,426.336,3.273483,881.4175,0.948021,1.39741093521003
0.5377775,0.9973341,505.3289,7.89082,265.3141,0.8837152,1.25947797094543
1.0990532,0.9958222,233.8282,4.451762,537.5229,0.7220318,1.29709544401852
1.1113451,0.9964368,484.69,4.405041,643.7954,0.8509898,1.56165714437193
0.9820472,1.0066507,239.1388,9.694756,704.6862,0.8357009,1.42880595865463
1.4496843,0.9926395,322.4235,3.315518,646.92,0.8803392,1.58517103194526
0.5839388,0.9939934,529.9357,8.305687,256.9181,0.7705098,1.18122150858203
1.2687578,1.0025979,480.2915,3.721258,900.7541,0.8489809,1.60778322593816
0.9772705,1.0016164,235.1217,9.056342,913.3886,0.9134589,1.5002488361836
1.1321367,1.0053636,401.3021,9.880011,359.6265,0.8809075,1.56527820088997
0.5416255,1.0041921,276.4898,5.238825,627.1753,0.9576295,1.37272177337847
0.646844,1.0042009,393.3145,5.789307,940.868,0.9773639,1.47207780847319
0.947301,0.9976273,375.659,6.986064,413.2588,0.7929752,1.41414978029345
1.0262803,0.994771,275.342,9.81114,854.4141,0.9097817,1.52604601812082
1.2767533,0.9975802,421.4894,5.978684,792.7865,0.7045247,1.53238638172853
1.0028045,0.9977772,296.6167,7.623871,945.7918,0.9459507,1.55847438880715
0.9787463,0.9945908,500.602,7.116786,943.7156,0.8991986,1.57626944037154
0.7896475,1.0004786,388.6103,7.146012,672.1841,0.7804318,1.33901935058668
0.7366092,1.0019832,427.8194,5.284687,791.9347,0.8238436,1.34432198933978
0.7163065,0.993998,541.3292,9.62893,661.8877,0.7883815,1.35170429924842
0.5884707,1.0073783,276.8531,6.318256,612.2071,0.9902125,1.42501964998606
1.1685709,0.9966403,526.1671,8.627091,482.3808,0.7224539,1.55632285020002
0.6548624,1.0045732,369.7849,7.858935,843.8845,0.9802135,1.47008228206136
0.9189825,1.0087602,242.9098,3.423268,604.7159,0.7998433,1.29420359486944
1.4408793,1.0065117,289.6172,5.91945,512.1797,0.8680073,1.5754893761647
0.9719332,0.9903415,376.6684,5.153846,793.4105,0.9954953,1.59944734213379
0.6562163,1.005485,231.1237,7.827477,313.6976,0.9103865,1.29437850048412
0.7990843,0.9993407,470.909,3.084736,440.7851,0.8112334,1.32450108953051
0.9607309,0.9934432,273.8309,4.660666,310.6658,0.8065109,1.32360499702785
1.328995,1.0045078,382.3811,8.625185,481.8116,0.7506576,1.55922993658788
0.6493445,1.0039148,360.4921,4.017098,504.4169,0.8827301,1.29414267097358
1.4512983,0.9950811,254.5831,7.062007,844.5204,0.8750332,1.57505125839926
1.3258903,1.0034292,251.7066,3.785517,320.8118,0.9189643,1.52892498964272
0.910589,0.9905738,486.5955,5.010563,470.6873,0.7356358,1.38462431490265
0.7468627,1.0074141,258.9929,6.385809,542.2509,0.7718512,1.22763912483067
1.3827721,1.0076113,484.6105,3.622876,319.635,0.7237035,1.57953549771061
0.5276905,0.9951221,312.8494,8.665123,828.6108,0.8743701,1.30964825370901
0.9477519,0.9953663,316.0462,5.99435,998.237,0.812071,1.42930330397925
1.3251748,0.9907027,424.6015,5.073109,925.192,0.9366865,1.64882936067063
1.2398857,0.9947318,528.8744,8.40925,232.7983,0.8426214,1.60551843407349
1.2371995,0.9974214,375.2808,4.645683,297.6706,0.9087474,1.57193824884391
1.0706297,1.0044609,389.6853,7.626784,508.7173,0.8474224,1.52545397616198
0.8743558,0.9999543,476.3744,3.383434,698.263,0.8117514,1.41239912648263
0.7853281,1.0095156,281.0056,3.569298,619.5505,0.9296953,1.41496640223651
0.7723853,0.9936105,425.7147,3.483778,362.6187,0.7935029,1.26115809766879
1.3944544,1.0054595,509.1277,8.869472,751.3264,0.8564608,1.66165653361859
0.6030836,1.0018462,354.8794,7.873282,435.1088,0.8766428,1.2913796972787
0.9905737,1.0006575,350.4583,7.469586,478.4525,0.9613548,1.54946746925597
1.3463141,1.0030438,540.9429,5.332044,219.4622,0.8311419,1.62914549543244
1.4462866,0.9936254,362.5193,4.650146,888.1242,0.9832455,1.67385922088821
1.1813101,1.0073501,395.4841,7.819384,802.1719,0.8353642,1.57306610977196
1.0328729,1.0073979,226.1257,5.849986,923.4058,0.7765125,1.36935006660705
1.0318524,0.9930275,226.4739,6.544236,928.7996,0.9512087,1.53457944971577
1.2022445,0.9961361,467.2838,8.733041,858.3488,0.8753604,1.61790723649259
0.8139946,0.9977336,506.4437,6.644841,239.098,0.8289605,1.37609560008781
0.8193901,0.998297,288.2421,8.601883,545.6647,0.736975,1.27949598834358
0.9405289,0.9986073,369.1065,7.670389,317.8898,0.9319903,1.49561141155045
0.6308346,0.995984,360.1,5.904076,274.1201,0.8172006,1.18871236340308
0.8662515,0.990056,231.67,6.480995,637.6128,0.8818882,1.39128828036648
1.1252429,0.9932615,264.2183,6.933094,347.2529,0.8599827,1.45477059424535
0.6161464,1.0041566,269.9419,3.029866,230.6387,0.8548602,1.13497886139206
0.5900326,1.0044004,205.0986,7.303139,673.5109,0.833169,1.23459001378263
0.9113238,0.9940396,279.7225,5.462811,989.2534,0.8834493,1.45756811343494
0.5596285,0.99766,404.2985,4.412346,947.1086,0.8030079,1.20446810391576
1.3591962,1.0058784,377.9788,4.556099,269.4175,0.9601317,1.62920163544928
0.5532025,1.0016261,501.9173,4.353603,603.2226,0.9152364,1.3291821246689
1.2478199,0.9975584,474.6865,3.274824,993.4662,0.7121734,1.52687733725313
0.5556663,0.9913795,407.1378,7.625261,838.301,0.957031,1.41194706580583
1.3697952,1.0023774,548.4537,8.447284,665.1828,0.8043891,1.65037637549582
0.6145147,1.0040567,230.3269,8.632753,396.5189,0.9582634,1.35619998285738
1.228346,0.9942018,513.7482,6.337459,324.3535,0.8149341,1.58561561341494
0.9924309,0.9978032,439.8065,3.627542,405.8781,0.9437782,1.54938095289964
1.438859,1.0077514,354.4495,8.079026,236.4272,0.7358889,1.55556097946164
0.5609461,1.0070156,305.9868,3.825629,712.1574,0.711297,1.03004709103412
1.1101827,1.0021863,461.26,8.885722,605.1158,0.8854125,1.59177228845768
1.4277077,0.9927852,496.1872,5.327831,684.9431,0.7631232,1.62108933436725
1.4717562,1.0015681,204.0599,5.368149,679.6394,0.9996316,1.62359739408366
1.0270482,0.9959111,500.3918,7.338598,750.8653,0.7521625,1.50753956380704
0.9609959,0.9902272,216.5891,4.886757,708.8301,0.8791466,1.40551347093964
1.3802626,0.9908725,295.8828,9.716479,429.4696,0.9753553,1.62114462944238
0.9617297,1.0046549,202.1339,6.072926,908.1726,0.7103281,1.25905907717719
1.4335815,0.9936991,506.769,7.417508,741.4199,0.7234604,1.62714999305856
0.6915918,0.9910353,485.3246,9.979677,697.7996,0.9260944,1.43775772519847
1.2198217,1.0008641,441.0286,5.23804,688.9577,0.9222755,1.62353058345912
0.5438741,0.9986431,488.9944,4.113352,988.2066,0.7010102,1.07765699982466
0.971846,1.0021241,395.029,5.529675,309.4575,0.8809787,1.47650094092762
1.0625182,1.009638,341.327,9.747787,388.4726,0.9447226,1.55507499752915
0.8046497,1.0086698,418.7948,9.744808,857.6159,0.9089981,1.49376117196209
0.90736,0.9981573,405.9756,8.264602,257.6852,0.9786389,1.5144395410695
0.5572695,0.9938197,200.7617,9.388594,964.6151,0.8732361,1.31399882425162
0.5421899,1.0056305,414.1269,5.07116,376.0888,0.7704647,1.11797700693798
1.4837218,1.00257,393.4317,4.02229,422.8526,0.8063398,1.59554379455992
1.3037411,1.0058482,440.6281,6.071639,900.4076,0.7449976,1.57408977403326
1.3085342,0.9953669,334.3024,7.300421,692.2347,0.8110383,1.55171474845975
1.3547154,0.9909964,440.6885,4.910197,662.5574,0.820777,1.59747233441159
1.2844653,0.997398,451.4532,5.282402,569.726,0.9942402,1.66752462425402
1.3428884,0.9981071,275.623,9.626806,811.8534,0.7444475,1.50868403735844
1.3221587,1.0050725,348.2028,9.911637,936.3976,0.8810648,1.61733645175205
