"f","e","d","tau_q","tau_s","v_s","ls_jh$u0"
0.759661,1.0044437,207.6118,8.038444,598.212,0.7492012,1.10933115255559
0.9232222,0.9901446,507.0314,3.307757,909.5632,0.9980522,1.53644033193098
0.6436606,1.0033823,212.4654,6.302962,394.3346,0.9857988,1.300893712532
0.9792099,0.9936688,223.611,6.93754,790.8543,0.9702492,1.44543788148416
1.0455758,0.9987135,548.497,5.132821,205.5826,0.7168778,1.36136705335504
1.1618737,0.9969111,368.4844,5.85165,774.288,0.8369324,1.44381327835703
0.6141185,1.0021605,537.3796,3.401506,364.9216,0.7508561,0.993357028888179
0.5947241,1.0091381,344.4726,3.29597,573.911,0.9533549,1.28228232257456
0.6767659,0.992684,207.0932,9.885375,467.8022,0.7903996,1.11777187657759
1.4923316,0.9968132,327.9966,8.625763,856.384,0.872653,1.53698790952102
1.4052314,1.0044095,391.8312,8.659307,788.6256,0.876365,1.55050054171148
0.9034138,0.9992688,291.3221,8.982511,635.7424,0.8066599,1.29679129934523
1.4303805,1.0083544,303.962,8.490859,319.3276,0.936041,1.51957175612836
1.2684065,0.9945547,267.8635,8.899739,480.6835,0.8637853,1.42893504458594
1.3146215,1.0092034,508.7535,8.75466,347.7086,0.8510645,1.55069303291354
1.4977335,0.9941137,316.9254,7.026828,674.1652,0.7869635,1.47611825076116
1.3131831,1.0035924,296.2224,3.072825,773.156,0.8951371,1.46843863454595
1.2490072,0.990207,228.8546,8.866259,639.63,0.9392168,1.46324762515349
0.631149,0.9967251,213.2545,7.172642,675.5558,0.9558143,1.30973525848053
0.9538952,0.995925,409.6617,9.913756,468.8289,0.7250193,1.32011867698468
1.0407831,1.0047384,413.963,6.274583,484.0758,0.9439686,1.48440241906966
0.5966497,1.0068128,368.7178,9.185611,655.2757,0.8076215,1.16755535850556
1.2359553,1.0075649,532.358,6.731089,908.729,0.9062238,1.56848325716312
0.6794259,0.9958569,229.4077,4.778124,355.5,0.8864228,1.15391523925509
0.6316716,1.0070844,469.0464,8.5275,987.546,0.9396008,1.36414914701134
1.0202201,1.0086869,367.0463,8.702852,695.5885,0.9441122,1.48710914991597
0.8584773,0.9980819,421.2386,5.063407,701.5292,0.7083411,1.20145344872408
0.851953,0.9945708,214.601,3.24858,547.0552,0.9585507,1.34737568170809
1.0901208,0.9902432,251.4201,8.483493,340.7713,0.8219717,1.31221876346898
1.2649919,0.9950459,356.559,4.076459,504.9317,0.7536688,1.38205980089747
1.1007582,1.0067412,384.1963,3.145634,923.0165,0.7187706,1.31821391664755
0.6525724,0.9926248,471.8443,7.938177,777.0486,0.8520527,1.25799512206074
1.2419918,0.996827,375.9814,3.170006,696.0394,0.7334876,1.36896993952479
1.4655175,1.0085828,367.5627,8.683853,210.2518,0.7803341,1.4939387910335
0.7174683,0.9950345,301.3913,6.194417,340.7592,0.8987665,1.22451126216579
0.6020476,1.001626,282.8317,9.477367,789.4123,0.9491169,1.32552902384681
1.2677544,1.0081264,275.7271,3.285822,642.6078,0.9843979,1.52495396370027
1.2219632,0.9928872,230.9936,8.122663,403.42,0.7460257,1.29232117267886
0.8327887,0.9927792,433.988,5.764513,212.7332,0.8566772,1.26129554488024
0.7630052,0.9999922,254.226,3.452482,311.5149,0.786364,1.02442072640389
0.6858655,1.0006301,346.6496,7.066713,723.651,0.846706,1.2333850399549
0.602869,0.999805,529.2769,3.995947,377.6826,0.9746476,1.30252134450258
1.4956262,1.0009854,365.1786,5.263643,726.7581,0.9638673,1.58500445759378
1.1116763,1.0080766,254.6998,8.161911,277.5763,0.7191213,1.25103379877299
0.9302783,1.00521,304.6936,9.736938,356.7912,0.8649611,1.33338469939075
0.5692881,0.993213,361.2586,7.66249,802.485,0.8884346,1.24448806909643
0.995866,1.0028659,490.1252,8.41486,476.4772,0.9295478,1.48664061554907
1.3190201,0.9929451,252.2951,8.601708,690.9023,0.8424251,1.43021882472549
1.1055059,0.9920302,532.9228,9.417442,456.8644,0.9501563,1.53958012977175
1.3342757,1.0068671,489.0388,5.723986,774.8598,0.7318183,1.50135723101165
1.0895914,0.9981986,343.7124,8.195986,594.832,0.9380599,1.48053058238945
1.3984338,1.0046881,286.4197,7.639717,634.3119,0.7468956,1.41802041627561
0.7183462,1.0078383,508.9434,5.863754,731.2633,0.810766,1.24387099272119
1.4280805,0.9936569,209.7247,8.248576,473.9131,0.8013559,1.37360601388585
0.5857606,1.0081156,356.7168,5.145754,412.9345,0.7783971,1.02524423442104
0.7706183,1.0091367,488.7884,8.912053,946.5988,0.9651963,1.45548318593535
0.8488996,1.0048227,458.9432,7.816915,944.9948,0.8327212,1.374687021031
0.8592449,1.0007188,458.0032,7.269814,516.9066,0.8769447,1.37441262182429
0.6930854,1.0090682,399.7155,6.138019,911.2879,0.8195093,1.230360919596
0.5632008,0.9967048,331.0333,7.366598,360.6555,0.7384025,0.997573338461413
1.0183866,0.994612,299.8799,4.322893,406.3826,0.7396458,1.20707630110127
1.371374,0.9929263,295.3508,7.718306,468.2361,0.9303086,1.50513635424797
1.4465378,1.0076326,513.0314,4.597905,744.7688,0.7730266,1.54952199140771
0.829735,0.9906638,236.107,9.247238,838.5026,0.9263938,1.37426372723393
1.4063848,1.0016403,371.7014,9.313285,314.2468,0.7444172,1.47517408068877
1.0515501,0.9913473,496.1857,9.405581,742.3944,0.8329201,1.47084196880849
1.1642008,1.0082134,531.1691,4.571991,242.2534,0.9269196,1.52218094136693
1.3081248,0.9941118,438.4458,7.259614,227.8933,0.804324,1.48222961033024
1.2922499,0.9900938,386.5032,6.451242,316.6356,0.808802,1.45204578435753
1.1933626,1.0017154,386.1461,6.670014,976.2193,0.9793652,1.56769127756367
0.7702456,0.9940323,445.7714,6.423213,339.9414,0.9567578,1.35454881301656
